,From,To,edge
767,Timothy Kaine,Michael F. Bennet,1
768,Timothy Kaine,Patty Murray,1
771,Timothy Kaine,Margaret Wood Hassan,1
772,Timothy Kaine,Tammy Duckworth,1
774,Timothy Kaine,Mazie K. Hirono,1
775,Timothy Kaine,Clarence William Nelson,1
778,Timothy Kaine,Sherrod Brown,1
780,Timothy Kaine,Gary C. Peters,1
781,Timothy Kaine,Bernard Sanders,1
784,Timothy Kaine,Thomas R. Carper,1
785,Timothy Kaine,Christopher A. Coons,1
787,Timothy Kaine,Jeanne Shaheen,1
794,Timothy Kaine,Elizabeth A. Warren,1
795,Timothy Kaine,Cory A. Booker,1
797,Timothy Kaine,Robert Menendez,1
799,Timothy Kaine,Mark R. Warner,1
800,Timothy Kaine,Richard J. Durbin,1
801,Timothy Kaine,Patrick Joseph Leahy,1
804,Timothy Kaine,Sheldon Whitehouse,1
808,Timothy Kaine,Amy Klobuchar,1
810,Timothy Kaine,Deborah Ann Stabenow,1
816,Timothy Kaine,Charles E. Schumer,1
817,Timothy Kaine,John F. Reed,1
820,Timothy Kaine,Kamala D. Harris,1
821,Timothy Kaine,Chris Van Hollen,1
826,Timothy Kaine,Catherine Cortez Masto,1
828,Timothy Kaine,Tina Smith,1
833,Ron Wyden,Benjamin L. Cardin,1
835,Ron Wyden,Al Franken,1
839,Ron Wyden,Timothy Kaine,1
841,Ron Wyden,Jeff Merkley,1
846,Ron Wyden,Tom Udall,1
850,Ron Wyden,Brian Schatz,1
852,Ron Wyden,Richard Blumenthal,1
853,Ron Wyden,Maria Cantwell,1
854,Ron Wyden,Tammy Baldwin,1
855,Ron Wyden,Christopher Murphy,1
859,Ron Wyden,Bob Casey,1
864,Ron Wyden,Dianne Feinstein,1
865,Ron Wyden,Martin Heinrich,1
866,Ron Wyden,Edward J. Markey,1
868,Ron Wyden,Kirsten E. Gillibrand,1
871,Ron Wyden,Michael F. Bennet,1
872,Ron Wyden,Patty Murray,1
875,Ron Wyden,Margaret Wood Hassan,1
876,Ron Wyden,Tammy Duckworth,1
878,Ron Wyden,Mazie K. Hirono,1
882,Ron Wyden,Sherrod Brown,1
884,Ron Wyden,Gary C. Peters,1
885,Ron Wyden,Bernard Sanders,1
888,Ron Wyden,Thomas R. Carper,1
889,Ron Wyden,Christopher A. Coons,1
891,Ron Wyden,Jeanne Shaheen,1
898,Ron Wyden,Elizabeth A. Warren,1
899,Ron Wyden,Cory A. Booker,1
901,Ron Wyden,Robert Menendez,1
904,Ron Wyden,Richard J. Durbin,1
905,Ron Wyden,Patrick Joseph Leahy,1
908,Ron Wyden,Sheldon Whitehouse,1
914,Ron Wyden,Deborah Ann Stabenow,1
920,Ron Wyden,Charles E. Schumer,1
921,Ron Wyden,John F. Reed,1
