From,To,edge
Tammy Baldwin,Benjamin L. Cardin,1
Tammy Baldwin,Timothy Kaine,1
Tammy Baldwin,Brian Schatz,1
Tammy Baldwin,Patty Murray,1
Tammy Baldwin,Ron Wyden,1
Tammy Baldwin,Margaret Wood Hassan,1
Tammy Baldwin,Tina Smith,1
Tammy Baldwin,Mazie K. Hirono,1
Tammy Baldwin,Martin Heinrich,1
Tammy Baldwin,Michael F. Bennet,1
Tammy Baldwin,Kirsten E. Gillibrand,1
Tammy Baldwin,Amy Klobuchar,1
Tammy Baldwin,Patrick Joseph Leahy,1
Tammy Baldwin,Dianne Feinstein,1
Tammy Baldwin,John F. Reed,1
Tammy Baldwin,Maria Cantwell,1
Tammy Baldwin,Thomas R. Carper,1
Tammy Baldwin,Jacklyn Rosen,1
Angus King,Gary C. Peters,1
Angus King,Sheldon Whitehouse,1
Angus King,Tammy Baldwin,1
Angus King,Joe Manchin,1
Angus King,Deborah Ann Stabenow,1
Angus King,Tammy Duckworth,1
Angus King,Doug Jones,1
Angus King,Bob Casey,1
Angus King,Sherrod Brown,1
Angus King,Tom Udall,1
Angus King,Charles E. Schumer,1
Angus King,Catherine Cortez Masto,1
Angus King,Jon Tester,1
Angus King,Richard Blumenthal,1
Angus King,Jeanne Shaheen,1
Angus King,Christopher A. Coons,1
Angus King,Chris Van Hollen,1
Angus King,Christopher Murphy,1
Angus King,Mark R. Warner,1
Angus King,Benjamin L. Cardin,1
Angus King,Timothy Kaine,1
Angus King,Brian Schatz,1
Angus King,Patty Murray,1
Angus King,Susan Margaret Collins,1
Angus King,Ron Wyden,1
Angus King,Margaret Wood Hassan,1
Angus King,Tina Smith,1
Angus King,Mazie K. Hirono,1
Angus King,Martin Heinrich,1
Angus King,Michael F. Bennet,1
Angus King,Amy Klobuchar,1
Angus King,Patrick Joseph Leahy,1
Angus King,Dianne Feinstein,1
Angus King,John F. Reed,1
Angus King,Maria Cantwell,1
Angus King,Thomas R. Carper,1
Angus King,Kyrsten Sinema,1
Angus King,Jacklyn Rosen,1
Tom Cotton,Marco Rubio,1
Tom Cotton,John R. Thune,1
Tom Cotton,John Cornyn,1
Tom Cotton,Ted Cruz,1
Tom Cotton,Josh Hawley,1
Tom Cotton,Mike Rounds,1
Tom Cotton,John Barrasso,1
Tom Cotton,Deb Fischer,1
Tom Cotton,Marsha Blackburn,1
Tom Cotton,Cindy Hyde-Smith,1
Tom Cotton,Roy Blunt,1
Tom Cotton,Mike Braun,1
Tom Cotton,Roger F. Wicker,1
Tom Cotton,David Alfred Perdue,1
Tom Cotton,Pat Roberts,1
Tom Cotton,Michael B. Enzi,1
Tom Cotton,Tim Scott,1
Tom Cotton,John Neely Kennedy,1
Tom Cotton,Steve Daines,1
Tom Cotton,James Lankford,1
Tom Cotton,Joni Ernst,1
Tom Cotton,Thomas Roland Tillis,1
Tom Cotton,Ron Johnson,1
Tom Cotton,Kevin Cramer,1
Tom Cotton,John Hoeven,1
Tom Cotton,Richard Craig Shelby,1
Tom Cotton,Rick Scott,1
Tom Cotton,John Boozman,1
Tom Cotton,Jim Inhofe,1
Tom Cotton,Ben Sasse,1
Tom Cotton,Pat Toomey,1
Tom Cotton,Lindsey O. Graham,1
Tom Cotton,James E. Risch,1
Tom Cotton,Kelly Loeffler,1
Joe Manchin,Angus King,1
Joe Manchin,Doug Jones,1
Joe Manchin,Jon Tester,1
Joe Manchin,Mark R. Warner,1
Joe Manchin,Margaret Wood Hassan,1
Joe Manchin,Shelley Moore Capito,1
Joe Manchin,John Boozman,1
Joe Manchin,Kyrsten Sinema,1
Deborah Ann Stabenow,Jeff Merkley,1
Deborah Ann Stabenow,Gary C. Peters,1
Deborah Ann Stabenow,Elizabeth A. Warren,1
Deborah Ann Stabenow,Sheldon Whitehouse,1
Deborah Ann Stabenow,Tammy Baldwin,1
Deborah Ann Stabenow,Angus King,1
Deborah Ann Stabenow,Tammy Duckworth,1
Deborah Ann Stabenow,Richard J. Durbin,1
Deborah Ann Stabenow,Cory A. Booker,1
Deborah Ann Stabenow,Doug Jones,1
Deborah Ann Stabenow,Bernard Sanders,1
Deborah Ann Stabenow,Edward J. Markey,1
Deborah Ann Stabenow,Robert Menendez,1
Deborah Ann Stabenow,Bob Casey,1
Deborah Ann Stabenow,Sherrod Brown,1
Deborah Ann Stabenow,Tom Udall,1
Deborah Ann Stabenow,Charles E. Schumer,1
Deborah Ann Stabenow,Catherine Cortez Masto,1
Deborah Ann Stabenow,Jon Tester,1
Deborah Ann Stabenow,Richard Blumenthal,1
Deborah Ann Stabenow,Jeanne Shaheen,1
Deborah Ann Stabenow,Christopher A. Coons,1
Deborah Ann Stabenow,Kamala D. Harris,1
Deborah Ann Stabenow,Chris Van Hollen,1
Deborah Ann Stabenow,Christopher Murphy,1
Deborah Ann Stabenow,Mark R. Warner,1
Deborah Ann Stabenow,Benjamin L. Cardin,1
Deborah Ann Stabenow,Timothy Kaine,1
Deborah Ann Stabenow,Brian Schatz,1
Deborah Ann Stabenow,Patty Murray,1
Deborah Ann Stabenow,Ron Wyden,1
Deborah Ann Stabenow,Margaret Wood Hassan,1
Deborah Ann Stabenow,Tina Smith,1
Deborah Ann Stabenow,Mazie K. Hirono,1
Deborah Ann Stabenow,Martin Heinrich,1
Deborah Ann Stabenow,Michael F. Bennet,1
Deborah Ann Stabenow,Kirsten E. Gillibrand,1
Deborah Ann Stabenow,Amy Klobuchar,1
Deborah Ann Stabenow,Patrick Joseph Leahy,1
Deborah Ann Stabenow,Dianne Feinstein,1
Deborah Ann Stabenow,John F. Reed,1
Deborah Ann Stabenow,Maria Cantwell,1
Deborah Ann Stabenow,Thomas R. Carper,1
Deborah Ann Stabenow,Jacklyn Rosen,1
Tammy Duckworth,Jeff Merkley,1
Tammy Duckworth,Gary C. Peters,1
