From,To,edge
Kamala D. Harris,Jeanne Shaheen,1
Kamala D. Harris,Christopher A. Coons,1
Kamala D. Harris,Chris Van Hollen,1
Kamala D. Harris,Christopher Murphy,1
Kamala D. Harris,Benjamin L. Cardin,1
Kamala D. Harris,Timothy Kaine,1
Kamala D. Harris,Brian Schatz,1
Kamala D. Harris,Patty Murray,1
Kamala D. Harris,Ron Wyden,1
Kamala D. Harris,Tina Smith,1
Kamala D. Harris,Mazie K. Hirono,1
Kamala D. Harris,Martin Heinrich,1
Kamala D. Harris,Michael F. Bennet,1
Kamala D. Harris,Kirsten E. Gillibrand,1
Kamala D. Harris,Amy Klobuchar,1
Kamala D. Harris,Patrick Joseph Leahy,1
Kamala D. Harris,Dianne Feinstein,1
Kamala D. Harris,John F. Reed,1
Kamala D. Harris,Maria Cantwell,1
Kamala D. Harris,Thomas R. Carper,1
Kamala D. Harris,Jacklyn Rosen,1
Roy Blunt,John R. Thune,1
Roy Blunt,Michael D. Crapo,1
Roy Blunt,Tom Cotton,1
Roy Blunt,Richard Burr,1
Roy Blunt,John Cornyn,1
Roy Blunt,Josh Hawley,1
Roy Blunt,Mike Rounds,1
Roy Blunt,John Barrasso,1
Roy Blunt,Deb Fischer,1
Roy Blunt,Marsha Blackburn,1
Roy Blunt,Cindy Hyde-Smith,1
Roy Blunt,Roger F. Wicker,1
Roy Blunt,Dan Sullivan,1
Roy Blunt,David Alfred Perdue,1
Roy Blunt,Pat Roberts,1
Roy Blunt,Michael B. Enzi,1
Roy Blunt,Tim Scott,1
Roy Blunt,John Neely Kennedy,1
Roy Blunt,Steve Daines,1
Roy Blunt,James Lankford,1
Roy Blunt,Joni Ernst,1
Roy Blunt,Thomas Roland Tillis,1
Roy Blunt,Shelley Moore Capito,1
Roy Blunt,Kevin Cramer,1
Roy Blunt,John Hoeven,1
Roy Blunt,Richard Craig Shelby,1
Roy Blunt,John Boozman,1
Roy Blunt,Bill Cassidy,1
Roy Blunt,Mitt Romney,1
Roy Blunt,Jim Inhofe,1
Roy Blunt,Ben Sasse,1
Roy Blunt,Jerry Moran,1
Roy Blunt,Pat Toomey,1
Roy Blunt,Lamar Alexander,1
Roy Blunt,Lindsey O. Graham,1
Roy Blunt,James E. Risch,1
Roy Blunt,Johnny Isakson,1
Chris Van Hollen,Jeff Merkley,1
Chris Van Hollen,Gary C. Peters,1
Chris Van Hollen,Elizabeth A. Warren,1
Chris Van Hollen,Sheldon Whitehouse,1
Chris Van Hollen,Tammy Baldwin,1
Chris Van Hollen,Angus King,1
Chris Van Hollen,Deborah Ann Stabenow,1
Chris Van Hollen,Tammy Duckworth,1
Chris Van Hollen,Richard J. Durbin,1
Chris Van Hollen,Cory A. Booker,1
Chris Van Hollen,Doug Jones,1
Chris Van Hollen,Bernard Sanders,1
Chris Van Hollen,Edward J. Markey,1
Chris Van Hollen,Robert Menendez,1
Chris Van Hollen,Bob Casey,1
Chris Van Hollen,Sherrod Brown,1
Chris Van Hollen,Tom Udall,1
Chris Van Hollen,Charles E. Schumer,1
Chris Van Hollen,Catherine Cortez Masto,1
Chris Van Hollen,Richard Blumenthal,1
Chris Van Hollen,Jeanne Shaheen,1
Chris Van Hollen,Christopher A. Coons,1
Chris Van Hollen,Kamala D. Harris,1
Chris Van Hollen,Christopher Murphy,1
Chris Van Hollen,Mark R. Warner,1
Chris Van Hollen,Benjamin L. Cardin,1
Chris Van Hollen,Timothy Kaine,1
Chris Van Hollen,Brian Schatz,1
Chris Van Hollen,Patty Murray,1
Chris Van Hollen,Ron Wyden,1
Chris Van Hollen,Margaret Wood Hassan,1
Chris Van Hollen,Tina Smith,1
Chris Van Hollen,Mazie K. Hirono,1
Chris Van Hollen,Martin Heinrich,1
Chris Van Hollen,Michael F. Bennet,1
Chris Van Hollen,Kirsten E. Gillibrand,1
Chris Van Hollen,Amy Klobuchar,1
Chris Van Hollen,Patrick Joseph Leahy,1
Chris Van Hollen,Dianne Feinstein,1
Chris Van Hollen,John F. Reed,1
Chris Van Hollen,Maria Cantwell,1
Chris Van Hollen,Thomas R. Carper,1
Chris Van Hollen,Jacklyn Rosen,1
Christopher Murphy,Jeff Merkley,1
Christopher Murphy,Gary C. Peters,1
Christopher Murphy,Elizabeth A. Warren,1
Christopher Murphy,Sheldon Whitehouse,1
Christopher Murphy,Tammy Baldwin,1
Christopher Murphy,Angus King,1
Christopher Murphy,Deborah Ann Stabenow,1
Christopher Murphy,Tammy Duckworth,1
Christopher Murphy,Richard J. Durbin,1
Christopher Murphy,Cory A. Booker,1
Christopher Murphy,Bernard Sanders,1
Christopher Murphy,Edward J. Markey,1
Christopher Murphy,Robert Menendez,1
Christopher Murphy,Bob Casey,1
Christopher Murphy,Sherrod Brown,1
Christopher Murphy,Tom Udall,1
Christopher Murphy,Charles E. Schumer,1
Christopher Murphy,Catherine Cortez Masto,1
Christopher Murphy,Richard Blumenthal,1
Christopher Murphy,Jeanne Shaheen,1
Christopher Murphy,Christopher A. Coons,1
Christopher Murphy,Kamala D. Harris,1
Christopher Murphy,Chris Van Hollen,1
Christopher Murphy,Mark R. Warner,1
Christopher Murphy,Benjamin L. Cardin,1
Christopher Murphy,Timothy Kaine,1
Christopher Murphy,Brian Schatz,1
Christopher Murphy,Patty Murray,1
Christopher Murphy,Ron Wyden,1
Christopher Murphy,Margaret Wood Hassan,1
Christopher Murphy,Tina Smith,1
Christopher Murphy,Mazie K. Hirono,1
Christopher Murphy,Martin Heinrich,1
Christopher Murphy,Michael F. Bennet,1
Christopher Murphy,Kirsten E. Gillibrand,1
Christopher Murphy,Amy Klobuchar,1
Christopher Murphy,Patrick Joseph Leahy,1
Christopher Murphy,Dianne Feinstein,1
Christopher Murphy,John F. Reed,1
Christopher Murphy,Maria Cantwell,1
Christopher Murphy,Thomas R. Carper,1
Christopher Murphy,Jacklyn Rosen,1
Mark R. Warner,Gary C. Peters,1
Mark R. Warner,Sheldon Whitehouse,1
Mark R. Warner,Tammy Baldwin,1
Mark R. Warner,Angus King,1
Mark R. Warner,Joe Manchin,1
Mark R. Warner,Deborah Ann Stabenow,1
Mark R. Warner,Tammy Duckworth,1
Mark R. Warner,Richard J. Durbin,1
Mark R. Warner,Doug Jones,1
Mark R. Warner,Bernard Sanders,1
Mark R. Warner,Robert Menendez,1
Mark R. Warner,Bob Casey,1
Mark R. Warner,Sherrod Brown,1
Mark R. Warner,Tom Udall,1
Mark R. Warner,Charles E. Schumer,1
Mark R. Warner,Catherine Cortez Masto,1
Mark R. Warner,Richard Blumenthal,1
Mark R. Warner,Jeanne Shaheen,1
Mark R. Warner,Christopher A. Coons,1
Mark R. Warner,Chris Van Hollen,1
Mark R. Warner,Christopher Murphy,1
Mark R. Warner,Benjamin L. Cardin,1
Mark R. Warner,Timothy Kaine,1
Mark R. Warner,Brian Schatz,1
Mark R. Warner,Patty Murray,1
Mark R. Warner,Ron Wyden,1
Mark R. Warner,Margaret Wood Hassan,1
Mark R. Warner,Tina Smith,1
Mark R. Warner,Mazie K. Hirono,1
Mark R. Warner,Martin Heinrich,1
Mark R. Warner,Michael F. Bennet,1
Mark R. Warner,Amy Klobuchar,1
Mark R. Warner,Dianne Feinstein,1
Mark R. Warner,John F. Reed,1
Mark R. Warner,Maria Cantwell,1
Mark R. Warner,Thomas R. Carper,1
Mark R. Warner,Jacklyn Rosen,1
Benjamin L. Cardin,Jeff Merkley,1
Benjamin L. Cardin,Gary C. Peters,1
Benjamin L. Cardin,Elizabeth A. Warren,1
Benjamin L. Cardin,Sheldon Whitehouse,1
Benjamin L. Cardin,Tammy Baldwin,1
Benjamin L. Cardin,Angus King,1
Benjamin L. Cardin,Deborah Ann Stabenow,1
Benjamin L. Cardin,Tammy Duckworth,1
Benjamin L. Cardin,Richard J. Durbin,1
Benjamin L. Cardin,Cory A. Booker,1
Benjamin L. Cardin,Bernard Sanders,1
Benjamin L. Cardin,Edward J. Markey,1
Benjamin L. Cardin,Robert Menendez,1
Benjamin L. Cardin,Bob Casey,1
Benjamin L. Cardin,Sherrod Brown,1
Benjamin L. Cardin,Tom Udall,1
Benjamin L. Cardin,Charles E. Schumer,1
Benjamin L. Cardin,Catherine Cortez Masto,1
Benjamin L. Cardin,Richard Blumenthal,1
Benjamin L. Cardin,Jeanne Shaheen,1
Benjamin L. Cardin,Christopher A. Coons,1
Benjamin L. Cardin,Kamala D. Harris,1
Benjamin L. Cardin,Chris Van Hollen,1
Benjamin L. Cardin,Christopher Murphy,1
Benjamin L. Cardin,Mark R. Warner,1
Benjamin L. Cardin,Timothy Kaine,1
Benjamin L. Cardin,Brian Schatz,1
Benjamin L. Cardin,Patty Murray,1
Benjamin L. Cardin,Ron Wyden,1
Benjamin L. Cardin,Margaret Wood Hassan,1
Benjamin L. Cardin,Tina Smith,1
Benjamin L. Cardin,Mazie K. Hirono,1
Benjamin L. Cardin,Martin Heinrich,1
Benjamin L. Cardin,Michael F. Bennet,1
Benjamin L. Cardin,Kirsten E. Gillibrand,1
Benjamin L. Cardin,Amy Klobuchar,1
Benjamin L. Cardin,Patrick Joseph Leahy,1
Benjamin L. Cardin,Dianne Feinstein,1
Benjamin L. Cardin,John F. Reed,1
Benjamin L. Cardin,Maria Cantwell,1
Benjamin L. Cardin,Thomas R. Carper,1
Benjamin L. Cardin,Jacklyn Rosen,1
Timothy Kaine,Jeff Merkley,1
Timothy Kaine,Gary C. Peters,1
Timothy Kaine,Elizabeth A. Warren,1
Timothy Kaine,Sheldon Whitehouse,1
Timothy Kaine,Tammy Baldwin,1
Timothy Kaine,Angus King,1
Timothy Kaine,Deborah Ann Stabenow,1
Timothy Kaine,Tammy Duckworth,1
Timothy Kaine,Richard J. Durbin,1
Timothy Kaine,Cory A. Booker,1
Timothy Kaine,Doug Jones,1
Timothy Kaine,Bernard Sanders,1
Timothy Kaine,Edward J. Markey,1
Timothy Kaine,Robert Menendez,1
Timothy Kaine,Bob Casey,1
Timothy Kaine,Sherrod Brown,1
Timothy Kaine,Tom Udall,1
Timothy Kaine,Charles E. Schumer,1
Timothy Kaine,Catherine Cortez Masto,1
Timothy Kaine,Richard Blumenthal,1
Timothy Kaine,Jeanne Shaheen,1
Timothy Kaine,Christopher A. Coons,1
Timothy Kaine,Kamala D. Harris,1
Timothy Kaine,Chris Van Hollen,1
Timothy Kaine,Christopher Murphy,1
Timothy Kaine,Mark R. Warner,1
Timothy Kaine,Benjamin L. Cardin,1
Timothy Kaine,Brian Schatz,1
Timothy Kaine,Patty Murray,1
Timothy Kaine,Ron Wyden,1
Timothy Kaine,Margaret Wood Hassan,1
Timothy Kaine,Tina Smith,1
Timothy Kaine,Mazie K. Hirono,1
Timothy Kaine,Martin Heinrich,1
Timothy Kaine,Michael F. Bennet,1
Timothy Kaine,Kirsten E. Gillibrand,1
Timothy Kaine,Amy Klobuchar,1
Timothy Kaine,Patrick Joseph Leahy,1
Timothy Kaine,Dianne Feinstein,1
Timothy Kaine,John F. Reed,1
Timothy Kaine,Maria Cantwell,1
Timothy Kaine,Thomas R. Carper,1
Timothy Kaine,Jacklyn Rosen,1
Mike Braun,Marco Rubio,1
Mike Braun,John R. Thune,1
Mike Braun,Michael D. Crapo,1
Mike Braun,Tom Cotton,1
Mike Braun,Todd Young,1
Mike Braun,Ted Cruz,1
Mike Braun,Josh Hawley,1
Mike Braun,Mike Rounds,1
Mike Braun,John Barrasso,1
Mike Braun,Deb Fischer,1
Mike Braun,Marsha Blackburn,1
Mike Braun,Cindy Hyde-Smith,1
Mike Braun,Roger F. Wicker,1
Mike Braun,David Alfred Perdue,1
Mike Braun,Pat Roberts,1
Mike Braun,Michael B. Enzi,1
Mike Braun,Tim Scott,1
Mike Braun,John Neely Kennedy,1
Mike Braun,Steve Daines,1
Mike Braun,James Lankford,1
Mike Braun,Joni Ernst,1
Mike Braun,Thomas Roland Tillis,1
Mike Braun,Ron Johnson,1
Mike Braun,Kevin Cramer,1
Mike Braun,John Hoeven,1
Mike Braun,Richard Craig Shelby,1
Mike Braun,Rick Scott,1
Mike Braun,John Boozman,1
Mike Braun,Mitt Romney,1
Mike Braun,Jim Inhofe,1
Mike Braun,Ben Sasse,1
Mike Braun,Pat Toomey,1
Mike Braun,James E. Risch,1
Mike Braun,Kelly Loeffler,1
Brian Schatz,Jeff Merkley,1
Brian Schatz,Gary C. Peters,1
Brian Schatz,Elizabeth A. Warren,1
Brian Schatz,Sheldon Whitehouse,1
Brian Schatz,Tammy Baldwin,1
Brian Schatz,Angus King,1
Brian Schatz,Deborah Ann Stabenow,1
Brian Schatz,Tammy Duckworth,1
Brian Schatz,Richard J. Durbin,1
Brian Schatz,Cory A. Booker,1
Brian Schatz,Bernard Sanders,1
Brian Schatz,Edward J. Markey,1
Brian Schatz,Robert Menendez,1
Brian Schatz,Sherrod Brown,1
Brian Schatz,Tom Udall,1
Brian Schatz,Charles E. Schumer,1
Brian Schatz,Catherine Cortez Masto,1
Brian Schatz,Richard Blumenthal,1
Brian Schatz,Christopher A. Coons,1
Brian Schatz,Kamala D. Harris,1
Brian Schatz,Chris Van Hollen,1
Brian Schatz,Christopher Murphy,1
Brian Schatz,Mark R. Warner,1
Brian Schatz,Benjamin L. Cardin,1
Brian Schatz,Timothy Kaine,1
Brian Schatz,Patty Murray,1
Brian Schatz,Ron Wyden,1
Brian Schatz,Tina Smith,1
Brian Schatz,Mazie K. Hirono,1
Brian Schatz,Martin Heinrich,1
Brian Schatz,Michael F. Bennet,1
Brian Schatz,Kirsten E. Gillibrand,1
Brian Schatz,Amy Klobuchar,1
Brian Schatz,Patrick Joseph Leahy,1
Brian Schatz,Dianne Feinstein,1
Brian Schatz,John F. Reed,1
Brian Schatz,Maria Cantwell,1
Brian Schatz,Thomas R. Carper,1
Brian Schatz,Jacklyn Rosen,1
Roger F. Wicker,John R. Thune,1
Roger F. Wicker,Michael D. Crapo,1
Roger F. Wicker,Tom Cotton,1
Roger F. Wicker,Richard Burr,1
Roger F. Wicker,John Cornyn,1
Roger F. Wicker,Mike Rounds,1
Roger F. Wicker,John Barrasso,1
Roger F. Wicker,Deb Fischer,1
Roger F. Wicker,Marsha Blackburn,1
Roger F. Wicker,Cindy Hyde-Smith,1
Roger F. Wicker,Roy Blunt,1
Roger F. Wicker,Mike Braun,1
Roger F. Wicker,Dan Sullivan,1
Roger F. Wicker,David Alfred Perdue,1
Roger F. Wicker,Pat Roberts,1
Roger F. Wicker,Michael B. Enzi,1
Roger F. Wicker,Tim Scott,1
Roger F. Wicker,John Neely Kennedy,1
Roger F. Wicker,Steve Daines,1
Roger F. Wicker,Joni Ernst,1
Roger F. Wicker,Thomas Roland Tillis,1
Roger F. Wicker,Shelley Moore Capito,1
Roger F. Wicker,Kevin Cramer,1
Roger F. Wicker,John Hoeven,1
Roger F. Wicker,Richard Craig Shelby,1
Roger F. Wicker,John Boozman,1
Roger F. Wicker,Bill Cassidy,1
Roger F. Wicker,Jim Inhofe,1
Roger F. Wicker,Jerry Moran,1
Roger F. Wicker,Lamar Alexander,1
Roger F. Wicker,James E. Risch,1
Roger F. Wicker,Johnny Isakson,1
Dan Sullivan,Michael D. Crapo,1
Dan Sullivan,Mike Rounds,1
Dan Sullivan,John Barrasso,1
Dan Sullivan,Deb Fischer,1
Dan Sullivan,Roy Blunt,1
Dan Sullivan,Roger F. Wicker,1
Dan Sullivan,Pat Roberts,1
Dan Sullivan,Steve Daines,1
Dan Sullivan,Thomas Roland Tillis,1
Dan Sullivan,Shelley Moore Capito,1
Dan Sullivan,Kevin Cramer,1
Dan Sullivan,John Hoeven,1
Dan Sullivan,Richard Craig Shelby,1
Dan Sullivan,John Boozman,1
Dan Sullivan,Lisa Murkowski,1
Dan Sullivan,Jim Inhofe,1
Dan Sullivan,Jerry Moran,1
David Alfred Perdue,Marco Rubio,1
David Alfred Perdue,John R. Thune,1
David Alfred Perdue,Michael D. Crapo,1
David Alfred Perdue,Tom Cotton,1
David Alfred Perdue,Richard Burr,1
David Alfred Perdue,John Cornyn,1
David Alfred Perdue,Ted Cruz,1
David Alfred Perdue,Josh Hawley,1
David Alfred Perdue,Mike Rounds,1
David Alfred Perdue,John Barrasso,1
David Alfred Perdue,Deb Fischer,1
David Alfred Perdue,Marsha Blackburn,1
David Alfred Perdue,Cindy Hyde-Smith,1
David Alfred Perdue,Roy Blunt,1
David Alfred Perdue,Mike Braun,1
David Alfred Perdue,Roger F. Wicker,1
David Alfred Perdue,Pat Roberts,1
David Alfred Perdue,Michael B. Enzi,1
David Alfred Perdue,Charles Ernest Grassley,1
David Alfred Perdue,Tim Scott,1
David Alfred Perdue,John Neely Kennedy,1
David Alfred Perdue,Steve Daines,1
David Alfred Perdue,James Lankford,1
David Alfred Perdue,Joni Ernst,1
David Alfred Perdue,Thomas Roland Tillis,1
David Alfred Perdue,Shelley Moore Capito,1
David Alfred Perdue,Ron Johnson,1
David Alfred Perdue,Kevin Cramer,1
David Alfred Perdue,John Hoeven,1
David Alfred Perdue,Richard Craig Shelby,1
David Alfred Perdue,Rick Scott,1
David Alfred Perdue,John Boozman,1
David Alfred Perdue,Bill Cassidy,1
David Alfred Perdue,Mitt Romney,1
David Alfred Perdue,Jim Inhofe,1
David Alfred Perdue,Ben Sasse,1
David Alfred Perdue,Jerry Moran,1
David Alfred Perdue,Pat Toomey,1
David Alfred Perdue,Lamar Alexander,1
David Alfred Perdue,Lindsey O. Graham,1
David Alfred Perdue,James E. Risch,1
David Alfred Perdue,Johnny Isakson,1
David Alfred Perdue,Kelly Loeffler,1
Patty Murray,Jeff Merkley,1
Patty Murray,Gary C. Peters,1
Patty Murray,Elizabeth A. Warren,1
Patty Murray,Sheldon Whitehouse,1
Patty Murray,Tammy Baldwin,1
Patty Murray,Angus King,1
Patty Murray,Deborah Ann Stabenow,1
Patty Murray,Tammy Duckworth,1
Patty Murray,Richard J. Durbin,1
Patty Murray,Cory A. Booker,1
Patty Murray,Bernard Sanders,1
Patty Murray,Edward J. Markey,1
Patty Murray,Robert Menendez,1
Patty Murray,Bob Casey,1
Patty Murray,Sherrod Brown,1
Patty Murray,Tom Udall,1
Patty Murray,Charles E. Schumer,1
Patty Murray,Catherine Cortez Masto,1
Patty Murray,Jon Tester,1
Patty Murray,Richard Blumenthal,1
Patty Murray,Jeanne Shaheen,1
Patty Murray,Christopher A. Coons,1
Patty Murray,Kamala D. Harris,1
Patty Murray,Chris Van Hollen,1
Patty Murray,Christopher Murphy,1
Patty Murray,Mark R. Warner,1
Patty Murray,Benjamin L. Cardin,1
Patty Murray,Timothy Kaine,1
Patty Murray,Brian Schatz,1
Patty Murray,Ron Wyden,1
Patty Murray,Margaret Wood Hassan,1
Patty Murray,Tina Smith,1
Patty Murray,Mazie K. Hirono,1
Patty Murray,Martin Heinrich,1
Patty Murray,Michael F. Bennet,1
Patty Murray,Kirsten E. Gillibrand,1
Patty Murray,Amy Klobuchar,1
Patty Murray,Patrick Joseph Leahy,1
Patty Murray,Dianne Feinstein,1
Patty Murray,John F. Reed,1
Patty Murray,Maria Cantwell,1
Patty Murray,Thomas R. Carper,1
Patty Murray,Jacklyn Rosen,1
Pat Roberts,John R. Thune,1
Pat Roberts,Michael D. Crapo,1
Pat Roberts,Tom Cotton,1
Pat Roberts,Richard Burr,1
Pat Roberts,John Cornyn,1
Pat Roberts,Ted Cruz,1
Pat Roberts,Josh Hawley,1
Pat Roberts,Mike Rounds,1
Pat Roberts,John Barrasso,1
Pat Roberts,Deb Fischer,1
Pat Roberts,Marsha Blackburn,1
Pat Roberts,Cindy Hyde-Smith,1
Pat Roberts,Roy Blunt,1
Pat Roberts,Mike Braun,1
Pat Roberts,Roger F. Wicker,1
Pat Roberts,Dan Sullivan,1
Pat Roberts,David Alfred Perdue,1
Pat Roberts,Michael B. Enzi,1
Pat Roberts,Charles Ernest Grassley,1
Pat Roberts,Tim Scott,1
Pat Roberts,John Neely Kennedy,1
Pat Roberts,Steve Daines,1
Pat Roberts,James Lankford,1
Pat Roberts,Joni Ernst,1
Pat Roberts,Thomas Roland Tillis,1
Pat Roberts,Shelley Moore Capito,1
Pat Roberts,Kevin Cramer,1
Pat Roberts,John Hoeven,1
Pat Roberts,Richard Craig Shelby,1
Pat Roberts,John Boozman,1
Pat Roberts,Bill Cassidy,1
Pat Roberts,Mitt Romney,1
Pat Roberts,Jim Inhofe,1
Pat Roberts,Jerry Moran,1
Pat Roberts,Pat Toomey,1
Pat Roberts,Lamar Alexander,1
Pat Roberts,Lindsey O. Graham,1
Pat Roberts,James E. Risch,1
Pat Roberts,Johnny Isakson,1
Michael B. Enzi,John R. Thune,1
Michael B. Enzi,Michael D. Crapo,1
Michael B. Enzi,Tom Cotton,1
Michael B. Enzi,John Cornyn,1
Michael B. Enzi,Mike Rounds,1
Michael B. Enzi,John Barrasso,1
Michael B. Enzi,Deb Fischer,1
Michael B. Enzi,Marsha Blackburn,1
Michael B. Enzi,Cindy Hyde-Smith,1
Michael B. Enzi,Roy Blunt,1
Michael B. Enzi,Mike Braun,1
Michael B. Enzi,Roger F. Wicker,1
Michael B. Enzi,David Alfred Perdue,1
Michael B. Enzi,Pat Roberts,1
Michael B. Enzi,Charles Ernest Grassley,1
Michael B. Enzi,Tim Scott,1
Michael B. Enzi,John Neely Kennedy,1
Michael B. Enzi,Steve Daines,1
Michael B. Enzi,James Lankford,1
Michael B. Enzi,Joni Ernst,1
Michael B. Enzi,Shelley Moore Capito,1
Michael B. Enzi,Ron Johnson,1
Michael B. Enzi,Kevin Cramer,1
Michael B. Enzi,John Hoeven,1
Michael B. Enzi,Richard Craig Shelby,1
Michael B. Enzi,John Boozman,1
Michael B. Enzi,Mitt Romney,1
Michael B. Enzi,Jim Inhofe,1
Michael B. Enzi,Ben Sasse,1
Michael B. Enzi,Jerry Moran,1
Michael B. Enzi,Pat Toomey,1
Michael B. Enzi,Lamar Alexander,1
Michael B. Enzi,James E. Risch,1
Charles Ernest Grassley,Michael D. Crapo,1
Charles Ernest Grassley,John Cornyn,1
Charles Ernest Grassley,Josh Hawley,1
Charles Ernest Grassley,Deb Fischer,1
Charles Ernest Grassley,Cindy Hyde-Smith,1
Charles Ernest Grassley,David Alfred Perdue,1
Charles Ernest Grassley,Pat Roberts,1
Charles Ernest Grassley,Michael B. Enzi,1
Charles Ernest Grassley,Tim Scott,1
Charles Ernest Grassley,James Lankford,1
Charles Ernest Grassley,Joni Ernst,1
Charles Ernest Grassley,Thomas Roland Tillis,1
Charles Ernest Grassley,Richard Craig Shelby,1
Charles Ernest Grassley,Jim Inhofe,1
Tim Scott,Marco Rubio,1
Tim Scott,John R. Thune,1
Tim Scott,Michael D. Crapo,1
Tim Scott,Tom Cotton,1
Tim Scott,Richard Burr,1
Tim Scott,Todd Young,1
Tim Scott,John Cornyn,1
Tim Scott,Josh Hawley,1
Tim Scott,Mike Rounds,1
Tim Scott,John Barrasso,1
Tim Scott,Deb Fischer,1
Tim Scott,Marsha Blackburn,1
Tim Scott,Cindy Hyde-Smith,1
Tim Scott,Roy Blunt,1
Tim Scott,Mike Braun,1
Tim Scott,Roger F. Wicker,1
Tim Scott,David Alfred Perdue,1
Tim Scott,Pat Roberts,1
Tim Scott,Michael B. Enzi,1
Tim Scott,Charles Ernest Grassley,1
Tim Scott,John Neely Kennedy,1
Tim Scott,Steve Daines,1
Tim Scott,James Lankford,1
Tim Scott,Joni Ernst,1
Tim Scott,Thomas Roland Tillis,1
Tim Scott,Shelley Moore Capito,1
Tim Scott,Kevin Cramer,1
Tim Scott,John Hoeven,1
Tim Scott,Richard Craig Shelby,1
Tim Scott,Rick Scott,1
Tim Scott,John Boozman,1
Tim Scott,Bill Cassidy,1
Tim Scott,Mitt Romney,1
Tim Scott,Jim Inhofe,1
Tim Scott,Ben Sasse,1
Tim Scott,Jerry Moran,1
Tim Scott,Pat Toomey,1
Tim Scott,Lindsey O. Graham,1
Tim Scott,James E. Risch,1
Susan Margaret Collins,Angus King,1
Susan Margaret Collins,Doug Jones,1
Susan Margaret Collins,Jeanne Shaheen,1
Susan Margaret Collins,Christopher A. Coons,1
Susan Margaret Collins,Cindy Hyde-Smith,1
Susan Margaret Collins,Martha Mcsally,1
Susan Margaret Collins,Margaret Wood Hassan,1
Susan Margaret Collins,Shelley Moore Capito,1
Susan Margaret Collins,John Boozman,1
Susan Margaret Collins,Kyrsten Sinema,1
John Neely Kennedy,John R. Thune,1
John Neely Kennedy,Michael D. Crapo,1
John Neely Kennedy,Tom Cotton,1
John Neely Kennedy,John Cornyn,1
John Neely Kennedy,Ted Cruz,1
John Neely Kennedy,Josh Hawley,1
John Neely Kennedy,Mike Rounds,1
John Neely Kennedy,John Barrasso,1
John Neely Kennedy,Deb Fischer,1
John Neely Kennedy,Marsha Blackburn,1
John Neely Kennedy,Cindy Hyde-Smith,1
John Neely Kennedy,Roy Blunt,1
John Neely Kennedy,Mike Braun,1
John Neely Kennedy,Roger F. Wicker,1
John Neely Kennedy,David Alfred Perdue,1
John Neely Kennedy,Pat Roberts,1
John Neely Kennedy,Michael B. Enzi,1
John Neely Kennedy,Tim Scott,1
John Neely Kennedy,Steve Daines,1
John Neely Kennedy,Joni Ernst,1
John Neely Kennedy,Kevin Cramer,1
John Neely Kennedy,John Hoeven,1
John Neely Kennedy,Richard Craig Shelby,1
John Neely Kennedy,John Boozman,1
John Neely Kennedy,Bill Cassidy,1
John Neely Kennedy,Jim Inhofe,1
John Neely Kennedy,Ben Sasse,1
John Neely Kennedy,Lindsey O. Graham,1
John Neely Kennedy,James E. Risch,1
Ron Wyden,Jeff Merkley,1
Ron Wyden,Elizabeth A. Warren,1
Ron Wyden,Sheldon Whitehouse,1
Ron Wyden,Tammy Baldwin,1
Ron Wyden,Angus King,1
Ron Wyden,Deborah Ann Stabenow,1
Ron Wyden,Tammy Duckworth,1
Ron Wyden,Richard J. Durbin,1
Ron Wyden,Cory A. Booker,1
Ron Wyden,Bernard Sanders,1
Ron Wyden,Edward J. Markey,1
Ron Wyden,Robert Menendez,1
Ron Wyden,Bob Casey,1
Ron Wyden,Sherrod Brown,1
Ron Wyden,Tom Udall,1
Ron Wyden,Charles E. Schumer,1
Ron Wyden,Catherine Cortez Masto,1
Ron Wyden,Richard Blumenthal,1
Ron Wyden,Christopher A. Coons,1
Ron Wyden,Kamala D. Harris,1
Ron Wyden,Chris Van Hollen,1
Ron Wyden,Christopher Murphy,1
Ron Wyden,Mark R. Warner,1
Ron Wyden,Benjamin L. Cardin,1
Ron Wyden,Timothy Kaine,1
Ron Wyden,Brian Schatz,1
Ron Wyden,Patty Murray,1
Ron Wyden,Tina Smith,1
Ron Wyden,Mazie K. Hirono,1
Ron Wyden,Martin Heinrich,1
Ron Wyden,Michael F. Bennet,1
Ron Wyden,Kirsten E. Gillibrand,1
Ron Wyden,Amy Klobuchar,1
Ron Wyden,Patrick Joseph Leahy,1
Ron Wyden,Dianne Feinstein,1
Ron Wyden,John F. Reed,1
Ron Wyden,Maria Cantwell,1
Ron Wyden,Thomas R. Carper,1
Ron Wyden,Jacklyn Rosen,1
Steve Daines,John R. Thune,1
Steve Daines,Michael D. Crapo,1
Steve Daines,Tom Cotton,1
Steve Daines,Richard Burr,1
Steve Daines,Josh Hawley,1
Steve Daines,Mike Rounds,1
Steve Daines,John Barrasso,1
Steve Daines,Deb Fischer,1
Steve Daines,Jon Tester,1
Steve Daines,Marsha Blackburn,1
Steve Daines,Cindy Hyde-Smith,1
Steve Daines,Martha Mcsally,1
Steve Daines,Roy Blunt,1
Steve Daines,Mike Braun,1
Steve Daines,Roger F. Wicker,1
Steve Daines,Dan Sullivan,1
Steve Daines,David Alfred Perdue,1
Steve Daines,Pat Roberts,1
Steve Daines,Michael B. Enzi,1
Steve Daines,Tim Scott,1
Steve Daines,John Neely Kennedy,1
