,From,To,edge
909,Peter J. Roskam,Patrick J. Tiberi,1
911,Peter J. Roskam,Christopher H. Smith,1
912,Peter J. Roskam,Stevan Pearce,1
916,Peter J. Roskam,Doug Lamborn,1
917,Peter J. Roskam,Ileana Ros-Lehtinen,1
925,Peter J. Roskam,Harold Rogers,1
926,Peter J. Roskam,James B. Renacci,1
929,Peter J. Roskam,Glenn Thompson,1
931,Peter J. Roskam,Kevin Brady,1
932,Peter J. Roskam,H. Morgan Griffith,1
933,Peter J. Roskam,Leonard Lance,1
936,Peter J. Roskam,Jeff Fortenberry,1
939,Peter J. Roskam,Tom Reed,1
940,Peter J. Roskam,Dennis A. Ross,1
943,Peter J. Roskam,Michael T. Mccaul,1
946,Peter J. Roskam,Bill Flores,1
949,Peter J. Roskam,Luke Messer,1
951,Peter J. Roskam,Darin Lahood,1
952,Peter J. Roskam,K. Michael Conaway,1
954,Peter J. Roskam,Robert J. Wittman,1
955,Peter J. Roskam,Daniel William Lipinski,1
958,Peter J. Roskam,William M. Thornberry,1
962,Peter J. Roskam,Bill Shuster,1
963,Peter J. Roskam,Erik Paulsen,1
964,Peter J. Roskam,Pete Olson,1
965,Peter J. Roskam,Mike Kelly,1
968,Peter J. Roskam,Rodney Davis,1
969,Peter J. Roskam,Reid J. Ribble,1
970,Peter J. Roskam,Sam Johnson,1
978,Peter J. Roskam,Dan Benishek,1
983,Peter J. Roskam,Lee M. Zeldin,1
986,Peter J. Roskam,Mike Bishop,1
989,Peter J. Roskam,Marsha Blackburn,1
990,Peter J. Roskam,Lynn Jenkins,1
991,Peter J. Roskam,Kay Granger,1
995,Peter J. Roskam,Roger Williams,1
997,Peter J. Roskam,E. Scott Rigell,1
1001,Peter J. Roskam,Joe Wilson,1
1002,Peter J. Roskam,Martha Roby,1
1004,Peter J. Roskam,Joe L. Barton,1
1007,Peter J. Roskam,Mark Meadows,1
1008,Peter J. Roskam,Steve Chabot,1
1009,Peter J. Roskam,Steve Scalise,1
1011,Peter J. Roskam,Rob Woodall,1
1017,Peter J. Roskam,David P. Roe,1
